Soma Surface,Number of Stems,Number of Bifurcations,Number of Branches,Overall Width,Overall Height,Overall Depth,Average Diameter,Total Length,Total Surface,Total Volume,Max Euclidean Distance,Max Path Distance,Max Branch Order,Average Contraction,Total Fragmentation,Partition Asymmetry,Average Rall's Ratio,Average Bifurcation Angle Local,Average Bifurcation Angle Remote,Fractal Dimension,Category,w
250317.8481,2,11,24,57.83,334.1,0,0.25,658.02,516.812,32.33,223.36,235.42,8,0.93,1329,0.63,2,35.48,74.6,1.02,131,
250317.8481,2,7,16,54.82,344.92,0,0.25,573.56,450.472,28.153,240.15,263.86,6,0.9,794,0.54,2,33.62,76.98,1.03,131,
2700.912,8,45,98,469.82,1093.8,121.28,1.6,7969.59,43509.22,28387.23,1019.2,1072.78,14,0.93,599,0.45,1.33,54.21,50.78,1.02,143,
12.322,4,18,40,792.01,891.38,0,1,5508.51,17305.52,4326.383,877,966.28,10,0.96,958,0.67,2,71.83,73,1.01,125,
250317.8481,1,6,13,71.1,335.26,0,0.25,564.17,443.12,27.693,225.76,261.57,5,0.95,1201,0.56,2,112.07,101.03,1.02,131,
467.292,7,16,39,248.56,374.66,181.61,0.55,3945.14,6926.682,1287.123,356.85,442.88,6,0.82,2686,0.36,1.86,84.9,67.7,1.04,142,
1078.852,7,67,141,513.39,574.99,185.53,0.7,12475.5,30361.72,9225.613,473.87,613.76,10,0.84,9965,0.4,1.94,70.7,64.33,1.05,146,
250317.8481,1,32,65,64.96,441.73,0,0.25,1058.32,831.22,51.953,406.81,577.05,18,0.94,2171,0.65,2,83.38,87.06,1.03,131,
250317.8481,2,0,2,128.36,335.68,0,0.25,495.4,389.092,24.323,267.3,297.99,1,0.9,1019,0,2,138.33,105.92,1.02,131,
250317.8481,2,5,12,40.91,218.92,0,0.25,348.29,273.542,17.13,226.64,240.04,6,0.94,255,0.83,2,39.98,96.66,1.02,131,
250317.8481,2,1,4,69.34,387.08,0,0.25,497.12,390.442,24.43,224.53,262.69,2,0.9,1077,0.5,2,98.52,100.28,1.03,131,
250317.8481,2,8,18,73.22,177.34,0,0.25,378.55,297.312,18.583,132.72,148.89,6,0.94,267,0.55,2,48.6,83.34,1.02,131,
250317.8481,1,444,889,394.71,470.07,0,0.25,9460.28,7430.082,464.383,551.2,683.04,50,0.95,20621,0.66,2,85.59,88,1.03,131,
250317.8481,1,39,79,284.23,559.82,0,0.25,1783.14,1400.472,87.533,419.78,493.07,15,0.94,3664,0.56,2,73.68,95.7,1.03,131,
8788.142,5,23,51,755.53,978.25,0.99,1,7707.4,24213.52,6053.383,673.48,947.6,8,0.96,1350,0.62,2,64.69,60.32,1.01,125,
4924.032,4,6,16,345.61,964.21,1.15,1,2156.26,6774.092,1693.523,557.36,591.62,3,0.93,368,0.67,2,57.24,75.33,1.01,125,
4073.022,13,26,65,539.97,575.79,128.98,1.53,6339.48,33468.62,24946.93,703.38,741.72,9,0.93,723,0.5,1.15,68.08,50.86,1.01,143,
250317.8481,2,9,20,154.83,282.86,0,0.25,939.36,737.782,46.113,210.26,252.64,7,0.92,2030,0.62,2,48.68,48.24,1.03,131,
7575.432,7,40,87,756.26,958.72,0.5,1,11452,35977.72,8994.423,666.83,982.6,8,0.94,2056,0.52,2,60.79,55.3,1.01,125,
694.672,8,138,284,1580.69,1500.7,112.38,0.39,36010,44628.22,6309.853,1348.75,1610.83,16,0.9,30943,0.41,1.95,70.33,56.55,1.03,146,
250317.8481,1,4,9,101.36,277.76,0,0.25,455.29,357.582,22.353,255.74,281.36,3,0.92,296,0.33,2,27.37,79.98,1.02,131,
250317.8481,1,5,11,50.95,222.73,0,0.25,376.77,295.912,18.493,231.97,266.41,5,0.92,245,0.8,2,60.89,78.99,1.03,131,
250317.8481,2,54,110,97.28,393.58,0,0.25,1605.92,1261.292,78.833,355.68,501.66,31,0.94,3413,0.67,2,84.61,90.88,1.03,131,
250317.8481,1,5,11,39.33,182.49,0,0.25,285.84,224.52,14.033,196.02,227.33,5,0.96,380,0.8,2,32.38,13.39,1.02,131,
250317.8481,1,2,5,47.4,347.9,0,0.25,466.09,366.062,22.883,358.83,418.74,2,0.91,615,0.5,2,16.85,56.67,1.03,131,
250317.8481,1,7,15,418.73,498.15,0,0.25,1304.77,1024.762,64.053,539.46,624.6,7,0.94,2824,0.86,2,115.6,113.09,1.03,131,
250317.8481,1,2,5,13.28,205.04,0,0.25,261.04,205.022,12.813,186.86,202.2,2,0.96,329,0.5,2,89.52,100.87,1.02,131,
250317.8481,2,62,126,302.85,722.89,0,0.25,3683.86,2893.292,180.833,426.3,667.52,17,0.95,7971,0.58,2,85.15,92.6,1.02,131,
250317.8481,2,11,24,42.59,197.69,0,0.25,392.97,308.642,19.293,121.81,151,8,0.96,785,0.68,2,80.74,77.31,1.02,131,
726.242,5,23,51,238.43,1163.16,162.49,0.74,4883.29,11188.92,2288.043,1159.98,1402.33,8,0.87,3438,0.55,1.82,65.32,52.9,1.03,142,
250317.8481,2,4,10,63.9,136.79,0,0.25,250.64,196.852,12.33,128.58,149.87,4,0.93,547,0.47,2,101.36,137.39,1.03,131,
250317.8481,1,17,35,120.38,440.57,0,0.25,919.54,722.212,45.143,299.94,351.97,12,0.95,1950,0.64,2,81.42,88.29,1.03,131,
987.12,6,70,146,549.33,1407.46,854.69,0.32,23149.4,23513.52,2456.813,1105.62,2035.1,13,0.89,16739,0.49,2.02,86.14,76.91,1.02,142,
783.262,8,68,144,402.98,747.55,250.7,0.57,14516,26048.32,4453.383,656.11,797.03,15,0.89,10718,0.37,1.81,79.74,51.52,1.03,142,
250317.8481,1,10,21,150.88,350.86,0,0.25,880.47,691.522,43.223,240.26,358.98,7,0.95,1776,0.57,2,98.2,98.67,1.03,131,
250317.8481,1,6,13,91.26,265.94,0,0.25,576.4,452.712,28.293,167.85,191.28,6,0.94,1246,0.83,2,95.88,104.85,1.02,131,
250317.8481,1,10,21,189.52,260.91,0,0.25,737.72,579.42,36.213,200.42,278.34,10,0.94,1554,0.9,2,72.01,65.96,1.06,131,
250317.8481,2,21,44,136.27,195.16,0,0.25,687.67,540.12,33.763,196.49,293.46,21,0.94,1448,0.9,2,117.38,115.76,1.03,131,
250317.8481,1,8,17,91.25,379.87,0,0.25,659.32,517.832,32.363,398.53,438.25,7,0.93,472,0.67,2,17.24,74.64,1.02,131,
250317.8481,2,18,38,100.45,346.62,0,0.25,955.63,750.552,46.913,206.7,236.07,11,0.93,667,0.64,2,50.29,81.1,1.02,131,
250317.8481,1,3,7,128.15,348.99,0,0.25,654.36,513.932,32.123,316.28,642.78,3,0.94,451,0.67,2,60.28,57.74,1.02,131,
250317.8481,1,9,19,144.36,343.65,0,0.25,935.86,735.022,45.943,284.48,322.61,5,0.92,1947,0.49,2,76.99,87.45,1.02,131,
201.012,7,48,103,338.85,589.23,260.06,0.65,10476.9,21367.12,3723.563,500.31,620.43,8,0.88,7284,0.36,1.96,67.85,55.24,1.03,142,
250317.8481,1,10,21,58.51,236.63,0,0.25,488.63,383.772,23.993,233.96,289.39,4,0.89,662,0.31,2,34.75,87.74,1.04,131,
