Soma Surface,Number of Stems,Number of Bifurcations,Number of Branches,Overall Width,Overall Height,Overall Depth,Average Diameter,Total Length,Total Surface,Total Volume,Max Euclidean Distance,Max Path Distance,Max Branch Order,Average Contraction,Total Fragmentation,Partition Asymmetry,Average Rall's Ratio,Average Bifurcation Angle Local,Average Bifurcation Angle Remote,Fractal Dimension,Category
250317.8481,1,24,49,130.24,577.57,0,0.25,1651.19,1296.842,81.053,474.61,546.94,13,0.95,3374,0.67,2,99.99,107.06,1.02,131
250317.8481,2,6,14,118.24,198.77,0,0.25,601.18,472.172,29.513,134.32,303.51,4,0.91,395,0.38,2,53.24,78.04,1.02,131
344.122,2,1,4,6.16,71.92,4.36,0.24,96.34,72.642,4.363,44.42,46.44,1,0.78,25,0,2,46.27,31.76,1.09,144
250317.8481,2,9,20,112.19,290.62,0,0.25,504.9,396.552,24.783,283.87,334.67,8,0.96,1062,0.62,2,102.26,112.24,1.02,131
242.352,5,30,65,267.29,456.83,258.73,0.59,5306.63,9941.022,1642.373,394.02,509.34,8,0.88,3597,0.46,1.86,81.91,63.84,1.03,142
590.772,7,63,133,397.09,1068.58,136.98,0.39,12492.1,15347.12,1900.913,692.97,968.04,9,0.87,10528,0.33,1.72,71.31,57.5,1.04,146
9965.342,4,28,60,421.12,712.96,0.34,1,5041.4,158382,3959.513,502.88,720.98,10,0.93,902,0.52,2,73.71,65.23,1.02,125
345.982,2,0,2,10.39,44.63,1.27,2.23,51.17,364.242,208.083,32.49,35.39,0,0.95,11,0,0,0,0,1.01,144
250317.8481,1,30,61,157.12,207.36,0,0.25,1038.46,815.62,50.983,219.18,304.13,15,0.94,2180,0.68,2,86.92,84.28,1.03,131
250317.8481,2,8,18,119.92,436.09,0,0.25,867.35,681.222,42.583,315.57,354.83,5,0.92,568,0.52,2,89.79,82.7,1.02,131
250317.8481,2,7,16,172.84,373.61,0,0.25,1115.63,876.222,54.763,267.84,310.07,5,0.91,1495,0.64,2,40.79,79.62,1.02,131
7793.612,6,9,24,468.94,748.69,0,1,3711.18,116592,2914.763,652.28,720.29,4,0.93,652,0.39,2,86.77,66.21,1.02,125
250317.8481,2,8,18,150.41,358.27,0,0.25,792.25,622.232,38.893,305.48,335.01,6,0.95,1590,0.67,2,117.52,117.33,1.02,131
250317.8481,1,18,37,111.48,172.5,0,0.25,667.56,524.32,32.773,158.72,204.98,10,0.94,1338,0.62,2,86.45,80.9,1.03,131
250317.8481,1,4,9,45.34,126.27,0,0.25,352.9,277.172,17.323,142.14,162.73,4,0.91,475,0.75,2,62.91,38.97,1.04,131
250317.8481,1,10,21,106.53,322.51,0,0.25,814.17,639.452,39.973,220.58,256.74,8,0.94,1710,0.72,2,77.54,105.9,1.02,131
221.822,1,14,29,595.18,898.38,0,1,3138.97,9861.362,2465.343,593.31,744.48,6,0.97,580,0.45,2,91.75,91.49,1.01,125
188.882,2,0,2,18.29,44.34,15.69,1.89,79.7,472.382,223.543,49.25,69.21,0,0.81,24,0,0,0,0,1.08,144
250317.8481,2,5,12,103.06,611.34,0,0.25,928.42,729.182,45.573,403.9,456.08,4,0.94,1909,0.25,2,50.83,60.02,1.02,131
250317.8481,1,4,9,191.09,285.64,0,0.25,672.92,528.512,33.033,216.67,293.52,4,0.92,1481,0.75,2,79.88,104.43,1.03,131
1442602,2,19,40,613.95,813.67,0,1,3565.44,11201.22,2800.293,625.48,762.56,11,0.94,657,0.71,2,80.52,87.46,1.01,125
250317.8481,1,6,13,102.17,201.91,0,0.25,534.43,419.742,26.233,134.38,176.33,4,0.93,378,0.5,2,56.11,97.29,1.03,131
472.362,9,70,149,400.94,865.32,326.35,0.61,16859.9,32525.92,5315.653,712.96,849.62,16,0.86,12994,0.37,1.92,70.14,54.49,1.04,142
250317.8481,2,27,56,76.8,209.35,0,0.25,945.8,742.832,46.433,186.01,262.3,13,0.91,642,0.58,2,75.76,95.08,1.03,131
250317.8481,1,12,25,480.86,620.84,0,0.25,2803.26,2201.672,137.63,500.03,659.83,8,0.94,6048,0.53,2,109.94,101.33,1.02,131
250317.8481,2,1,4,29.14,260.89,0,0.25,333.22,261.712,16.363,250.61,285.28,2,0.86,239,0.5,2,179.55,116.3,1.03,131
250317.8481,1,20,41,177.07,355.56,0,0.25,930.69,730.962,45.693,380.6,514.2,13,0.94,1852,0.74,2,74.67,90.73,1.03,131
487.942,10,103,216,494.3,1059.26,436.05,0.37,21712.2,25535.12,3172.633,1055.61,1613.47,18,0.88,14920,0.56,1.89,76.24,76.84,1.03,142
3231.442,7,51,109,385.36,1017.2,114.41,1.35,9025.72,42043.42,28573.63,1004.77,1038.96,11,0.94,955,0.44,1.34,61.46,50.19,1.01,143
15448.42,4,4,12,277.59,730.24,2.08,1,1921.32,6035.992,15093,665,817.38,2,0.93,326,0.25,2,17.16,54.59,1.01,125
369.542,4,37,78,512.89,578.9,176.14,0.45,7876.9,11133.62,1595.263,572.86,803.72,10,0.85,6609,0.52,2,74.24,67.44,1.05,146
250317.8481,1,9,19,98.87,308.18,0,0.25,796.56,625.622,39.13,275.28,343.34,8,0.91,534,0.74,2,113.48,110.04,1.03,131
250317.8481,2,9,20,101.97,351.35,0,0.25,717.11,563.222,35.23,356.34,446.86,8,0.9,1458,0.63,2,93.2,99.36,1.03,131
507.782,7,40,87,341.53,563.34,258.8,0.59,8482.72,15762.12,2632.033,548.85,680.03,15,0.92,6245,0.48,1.84,75.59,57.17,1.02,142
250317.8481,1,19,39,439.1,1450.94,0,0.25,3447.06,2707.322,169.213,1299.66,1422.56,13,0.94,7276,0.73,2,86.39,82.92,1.02,131
250317.8481,1,17,35,159.12,403.74,0,0.25,941.15,739.182,46.23,309.01,448.94,16,0.92,1260,0.88,2,65.3,91.39,1.03,131
224.152,1,1,3,14.42,79.08,15.96,0.24,98.14,73.992,4.443,80.7,92.29,1,0.95,23,0,2,39.45,12.77,1.01,144
